Customer_ID,Transaction_ID,Source_Account,Destination_Account,Amount,Date,Time,Is_Fraudulent,Category,Type,Location
1,1,1,71,536.47,2023-12-24 13:33:53.107061,13:33:53,False,Trading,cash out,Bikaner
1,2,1,40,699.94,2024-01-06 13:33:53.107061,13:33:53,False,Electronics,payment,Sikar
1,3,1,46,284.58,2023-12-28 13:33:53.107061,13:33:53,False,Other,transfer,Other
1,4,1,94,100.5,2023-12-18 13:33:53.107061,13:33:53,False,Other,payment,Sikar
1,5,1,97,687.19,2023-12-08 13:33:53.107061,13:33:53,False,Other,cash In,Jodhpur
1,6,1,83,597.83,2023-12-30 13:33:53.107061,13:33:53,False,Trading,debit,Kota
1,7,1,95,449.14,2023-12-23 13:33:53.107061,13:33:53,False,Entertainment,cash In,Ajmer
1,8,1,40,969.21,2024-01-04 13:33:53.107061,13:33:53,False,Entertainment,transfer,Ajmer
1,9,1,24,779.56,2023-12-13 13:33:53.107061,13:33:53,False,Trading,cash In,Sikar
1,10,1,62,88.67,2023-12-22 13:33:53.107061,13:33:53,False,Electronics,debit,Sikar
1,11,1,83,243.79,2023-12-14 13:33:53.107061,13:33:53,False,Clothing,payment,Jaipur
1,12,1,77,348.66,2023-12-31 13:33:53.107061,13:33:53,False,Trading,debit,Jaisalmer
1,13,1,80,15.79,2023-12-18 13:33:53.107061,13:33:53,False,Other,payment,Ajmer
1,14,1,40,712.0,2023-12-30 13:33:53.107061,13:33:53,False,Entertainment,debit,Udaipur
1,15,1,6,361.32,2023-12-26 13:33:53.107061,13:33:53,False,Grocery,cash out,Jaisalmer
1,16,1,70,387.73,2024-01-01 13:33:53.107061,13:33:53,False,Grocery,transfer,Jaipur
1,17,1,76,441.61,2024-01-02 13:33:53.107061,13:33:53,False,Entertainment,payment,Ajmer
1,18,1,19,305.97,2023-12-17 13:33:53.107061,13:33:53,False,Clothing,transfer,Jaipur
1,19,1,65,898.38,2023-12-26 13:33:53.107061,13:33:53,False,Other,cash In,Jodhpur
1,20,1,7,380.36,2024-01-04 13:33:53.107061,13:33:53,False,Entertainment,transfer,Alwar
1,21,1,2,957.82,2023-12-24 13:33:53.107061,13:33:53,False,Other,cash out,Jaipur
1,22,1,25,223.89,2023-12-20 13:33:53.107061,13:33:53,False,Clothing,payment,Jaipur
1,23,1,49,155.02,2023-12-19 13:33:53.107061,13:33:53,False,Other,transfer,Other
1,24,1,41,236.77,2023-12-26 13:33:53.107061,13:33:53,False,Grocery,debit,Jaisalmer
1,25,1,97,642.68,2023-12-31 13:33:53.107061,13:33:53,False,Trading,debit,Kota
1,26,1,54,336.15,2023-12-17 13:33:53.107061,13:33:53,False,Clothing,payment,Jaipur
1,27,1,98,415.69,2023-12-13 13:33:53.107061,13:33:53,False,Trading,payment,Jaisalmer
1,28,1,13,679.63,2024-01-03 13:33:53.107061,13:33:53,False,Other,cash out,Sikar
1,29,1,86,289.39,2024-01-04 13:33:53.107061,13:33:53,True,Other,cash out,Jodhpur
1,30,1,93,18.44,2023-12-19 13:33:53.107061,13:33:53,False,Other,cash In,Bikaner
1,31,1,86,319.85,2023-12-13 13:33:53.107061,13:33:53,False,Other,cash out,Sikar
1,32,1,27,52.85,2023-12-15 13:33:53.107061,13:33:53,False,Grocery,transfer,Other
1,33,1,40,516.61,2023-12-19 13:33:53.107061,13:33:53,False,Entertainment,cash In,Jaisalmer
1,34,1,87,242.68,2023-12-25 13:33:53.107061,13:33:53,False,Grocery,cash out,Jodhpur
1,35,1,90,223.78,2023-12-17 13:33:53.107061,13:33:53,False,Clothing,cash In,Other
1,36,1,31,869.88,2023-12-21 13:33:53.107061,13:33:53,False,Trading,transfer,Jaisalmer
1,37,1,20,649.97,2023-12-09 13:33:53.107061,13:33:53,False,Clothing,cash out,Udaipur
1,38,1,73,705.29,2023-12-19 13:33:53.107061,13:33:53,False,Entertainment,cash out,Alwar
1,39,1,81,322.41,2024-01-03 13:33:53.107061,13:33:53,False,Trading,transfer,Kota
1,40,1,73,649.56,2023-12-19 13:33:53.107061,13:33:53,False,Grocery,debit,Udaipur
1,41,1,40,103.62,2023-12-18 13:33:53.107061,13:33:53,True,Electronics,cash out,Jodhpur
1,42,1,79,241.51,2023-12-13 13:33:53.107061,13:33:53,False,Trading,debit,Udaipur
1,43,1,17,941.52,2023-12-19 13:33:53.107061,13:33:53,False,Clothing,debit,Jodhpur
1,44,1,40,690.53,2023-12-18 13:33:53.107061,13:33:53,False,Trading,transfer,Sikar
1,45,1,51,397.15,2023-12-19 13:33:53.107061,13:33:53,False,Electronics,cash out,Jodhpur
1,46,1,57,863.31,2024-01-05 13:33:53.107061,13:33:53,False,Entertainment,cash In,Alwar
1,47,1,76,959.98,2023-12-23 13:33:53.107061,13:33:53,False,Electronics,debit,Other
1,48,1,13,64.81,2024-01-01 13:33:53.107061,13:33:53,False,Clothing,transfer,Jaisalmer
1,49,1,17,837.48,2023-12-10 13:33:53.107061,13:33:53,False,Entertainment,debit,Jodhpur
1,50,1,17,315.83,2023-12-12 13:33:53.107061,13:33:53,False,Entertainment,debit,Jodhpur
1,51,1,29,382.0,2023-12-28 13:33:53.107061,13:33:53,False,Other,payment,Sikar
1,52,1,35,825.84,2024-01-02 13:33:53.107061,13:33:53,False,Trading,payment,Bikaner
1,53,1,9,825.65,2023-12-31 13:33:53.107061,13:33:53,False,Electronics,debit,Jaisalmer
1,54,1,78,678.24,2023-12-21 13:33:53.107061,13:33:53,False,Electronics,debit,Bikaner
1,55,1,33,207.09,2024-01-02 13:33:53.107061,13:33:53,False,Entertainment,cash out,Jodhpur
